,church_name,address,telephone number,priest,confession,links,additional info,last update,coords,long,lat
12,St. Michael's Cathedral,"Iligan City, Lanao del Norte",0916 590 0443,,,,,"Wed Apr 5, 2023 11:16AM","{'lat': 8.228020899999999, 'lng': 124.2452422}",124.2452422,8.228020899999999
13,St. Vincent Ferrer Parish,"Zone Pisces 1, Suarez, Iligan City, Lanao del Norte",229-6813,,,,,"Mon May 1, 2023 9:17AM","{'lat': 12.6678893, 'lng': 123.9881393}",123.9881393,12.6678893
0,National Shrine of Our Lady of Candles Parish (Jaro Cathedral),"Rizal Street, Jaro, Iloilo City, Iloilo",(033) 329 1625,,,,,"Mon Dec 11, 2023 11:22PM","{'lat': 10.7240041, 'lng': 122.5569286}",122.5569286,10.7240041
1,Espousal of Our Lady Parish,"Mandurriao, Iloilo City, Iloilo",(033) 321 0030,,approach the priest immediately after the Regular Mass schedules for individual confessions.,,,"Wed Jun 28, 2023 3:00PM","{'lat': 10.7185861, 'lng': 122.547669}",122.547669,10.7185861
2,Immaculate Conception Tanza Parish,"Ledesma Street, Iloilo City, Iloilo",(033) 500 0426,,,,,"Wed Jun 28, 2023 4:02PM","{'lat': 10.6950532, 'lng': 122.5642491}",122.5642491,10.6950532
3,Our Lady of the Miraculous Medal Parish,"Calumpang, Iloilo City, Iloilo",0923 439 1543,,,,,"Wed Jun 28, 2023 3:12PM","{'lat': 10.6843067, 'lng': 122.5358599}",122.5358599,10.6843067
4,Parish of Nuestra Señora Del Pilar,"M. H. Del Pilar, Jaro, Iloilo City, Iloilo","0929 155 1139, 329-3244",,,,,"Wed Jun 28, 2023 3:55PM","{'lat': 10.722353, 'lng': 122.563442}",122.563442,10.722353
5,Pavia Parish Church,"Pavia, Iloilo City, Iloilo",329-28-11,,,,,"Wed Jun 28, 2023 3:14PM","{'lat': 10.7603368, 'lng': 122.5259596}",122.5259596,10.7603368
6,Saint Joseph the Worker Parish,"Brgy. San Isidro, Iloilo City, Iloilo","0999 995 9203, (033) 329-0081",,,,,"Wed Jun 28, 2023 8:41PM","{'lat': 10.7360776, 'lng': 122.5461364}",122.5461364,10.7360776
7,San Jose Parish Placer,"#1 San Jose de Calasanz St., Plaza Libertad, Iloilo City, Iloilo",(033) 336-4802,,,,,"Wed Jun 28, 2023 3:45PM","{'lat': 10.6925707, 'lng': 122.5737112}",122.5737112,10.6925707
8,San Lorenzo Ruiz Parish,"Caingin, Iloilo City, Iloilo",,,,,,"Wed Jun 28, 2023 8:07PM","{'lat': 10.7186845, 'lng': 122.5753987}",122.5753987,10.7186845
9,Santa Maria Chinese-Filipino Parish,"139 Gen. Blanco Street, Maria Clara, Iloilo City, Iloilo","0966 497 8682,  338-2245",,,,,"Wed Dec 13, 2023 8:52AM","{'lat': 10.6905489, 'lng': 122.5703486}",122.5703486,10.6905489
10,Shrine and Parish of Our Lady of Fatima,"Phase 5, Alta Tierra Village, Jaro, Iloilo City, Iloilo","320-5565, 0917 578 7004",,30 minutes before daily and Sunday Masses or by appointment,,,"Wed Jun 28, 2023 3:08PM","{'lat': 10.7405398, 'lng': 122.5687209}",122.5687209,10.7405398
11,St. Clement's Church (Redemptorists Church-Iloilo),"Luna St., La Paz, Iloilo City, Iloilo",320-0717 / 320-7928,,,,,"Wed Jun 28, 2023 3:25PM","{'lat': 10.7111402, 'lng': 122.5654896}",122.5654896,10.7111402
12,Sta. Ana Parish (Molo Church),"Jocson St., Molo, Iloilo City, Iloilo",(033) 337 2258,,after every Mass,,,"Wed Jun 28, 2023 3:39PM","{'lat': 10.6888371, 'lng': 122.5264386}",122.5264386,10.6888371
13,Sta. Teresita Del Niño Jesus Parish,"J. De Leon St., Iloilo City, Iloilo","033-335-0093, (033) 320 5711",,,,,"Wed Jun 28, 2023 3:29PM","{'lat': 10.6933678, 'lng': 122.5654086}",122.5654086,10.6933678
0,Our Lady of Fatima Parish,"#10 Matumbo-Pusok Road, Lapu-lapu City (Opon), Cebu",(032) 261 9472,,Wed & Fri - 5:00 PM-6:00 PM,,,"Thu Apr 27, 2023 11:52PM","{'lat': 10.320173, 'lng': 123.9741729}",123.9741729,10.320173
1,Our Lady of Peace and Good Voyage Chapel,"Brigadier General Benito N. Ebuen Air Base, Lapu-lapu City (Opon), Cebu",not available,,,,"WEDDING INTERVIEW: Wednesday - 3pm
BAPTISM
 - Pre-Jordan Seminar - 3pm
 - Baptism Rites - 10:30am","Sun Oct 26, 2014 11:19PM","{'lat': 10.310857, 'lng': 123.965332}",123.965332,10.310857
2,Our Lady of the Sacred Heart Parish,"Marigondon, Lapu-lapu City (Opon), Cebu",236-8337 / 0968-695-7166,,Wed and Fri: 4PM-5PM,,1st Friday 4PM-5PM: Holy Hour,"Fri Apr 28, 2023 10:09PM","{'lat': 10.2757142, 'lng': 123.9777887}",123.9777887,10.2757142
3,Our Mother of Perpetual Help Parish,"Babag, Lapu-lapu City (Opon), Cebu",(032) 340 7266,,,,"Office hours: 8:30 AM - 5:00 PM
Tel. no.: 340 7266","Fri Apr 28, 2023 9:42PM","{'lat': 10.283829, 'lng': 123.9499154}",123.9499154,10.283829
4,Sacred Heart Parish,"Pajac, Lapu-lapu City (Opon), Cebu","0999-1950479, 0992-5573741",,Wed & Fri 5:00 PM,,"Baptism - Sunday, 11:30am
Sick Call/Blessing/Wedding - by arrangement","Fri Apr 28, 2023 9:45PM","{'lat': 10.2998522, 'lng': 123.9875424}",123.9875424,10.2998522
5,St. Augustine Parish,"Sta. Rosa, Olango Island, Lapu-lapu City (Opon), Cebu",,,Confession is always available every Holy Hour,,"Holy Hour
Friday after 4pm mass","Fri Apr 28, 2023 10:12PM","{'lat': 10.2612863, 'lng': 124.0488272}",124.0488272,10.2612863
6,St. Therese of Lisieux (The Millenium Saint),"IAU Pajac, Lapu-lapu City (Opon), Cebu",Not available,"Rev. Fr. Rodolfo A. Bugna, OSA",,,,"Tue Oct 21, 2014 10:52AM","{'lat': 10.2928653, 'lng': 123.9762703}",123.9762703,10.2928653
7,Sto. Niño Parish,"Mactan, Lapu-lapu City (Opon), Cebu",(032) 492 1841,,,,Office Hours:,"Sat Aug 6, 2022 9:09PM","{'lat': 10.2990463, 'lng': 123.9638531}",123.9638531,10.2990463
8,Virgin De La Regla Parish,"B.M. Dimataga St., Poblacion, Lapu-lapu City (Opon), Cebu",(032) 501 9594,,"Starts at 4:00PM, Wed and Fri",,,"Thu Dec 14, 2023 8:12PM","{'lat': 10.3137107, 'lng': 123.9499976}",123.9499976,10.3137107
0,Christ the King Parish,"San Isidro Subd., Pamplona, Las Piñas City, Metro Manila",288740640,,,,,"Mon Jun 5, 2023 8:41AM","{'lat': 14.4601917, 'lng': 120.9686307}",120.9686307,14.4601917
1,Diocesan Shrine and Parish of St. Joseph (Bamboo Organ Church),"Padre Diego Cera Avenue, Brgy. Daniel Fajardo, Las Piñas City, Metro Manila",288285315,,,,,"Mon Jun 5, 2023 8:01PM","{'lat': 14.4806652, 'lng': 120.9814876}",120.9814876,14.4806652
2,Five Wounds of Our Lord Parish,"364 Real Street (Alabang-Zapote Road), Talon, Las Piñas City, Metro Manila","801-4020, 800-1456",,,,,"Sat Jul 15, 2023 6:01PM","{'lat': 14.427575, 'lng': 121.0236753}",121.0236753,14.427575
3,Good Shepherd Parish,"Sanggumay Street, Doña Manuela Subdivision, Las Piñas City, Metro Manila",8873-5837,,,,,"Mon Jun 5, 2023 6:33PM","{'lat': 14.4607879, 'lng': 120.9773251}",120.9773251,14.4607879
4,Holy Family Parish,"CRM Ave. Cor. Dulce, BF Homes, Almanza, Las Piñas City, Metro Manila",0977 106 0680,,,,,"Sun Jun 4, 2023 8:15AM","{'lat': 14.409808, 'lng': 121.0118047}",121.0118047,14.409808
5,Immaculate Conception Parish,"Gatchalian Subd., Manuyo Dos, Las Piñas City, Metro Manila",285711097,,,,,"Mon Jun 5, 2023 7:09PM","{'lat': 14.4736658, 'lng': 120.9931508}",120.9931508,14.4736658
6,Last Supper of Our Lord Parish,"Manila Times Village, Las Piñas City, Metro Manila",288724392,,,,,"Mon Jun 5, 2023 7:18PM","{'lat': 14.448308, 'lng': 120.9849747}",120.9849747,14.448308
7,Madonna Del Divino Amore Quasi-Parish,"Ayala Southvale Dr, Almanza Dos, Las Piñas City, Metro Manila",284754402,,,,,"Wed Apr 26, 2023 9:11PM","{'lat': 14.4025291, 'lng': 121.0056777}",121.0056777,14.4025291
8,Mary Immaculate Parish,"Apollo III, Moonwalk Village, Las Piñas City, Metro Manila",288017806,,by appointment,,Chapel Masses,"Mon Jun 5, 2023 7:34PM","{'lat': 14.426785, 'lng': 120.9968999}",120.9968999,14.426785
9,"Mary, Mother of the Church Parish","Capitoline Hill, BF Resort Village, Talon Dos, Las Piñas City, Metro Manila",288739287,,Tue-Fri: 5:30PM,,,"Mon Jun 5, 2023 7:43PM","{'lat': 14.4266577, 'lng': 120.9911135}",120.9911135,14.4266577
10,Our Lady of Fatima Parish,"Our Lady of Fatima Avenue, Philamlife Village, Pamplona 2, Las Piñas City, Metro Manila",8777-9535,Rev. Fr. Rodel Paulino,Every after the mass from Mondays to Saturdays only,,Holy Hour 5:00pm every Friday (FB Live),"Mon Mar 28, 2022 9:33AM","{'lat': 14.4492077, 'lng': 120.9755182}",120.9755182,14.4492077
11,Our Lady of the Pillar Parish,"Mercury Rd., Pilar Village, Las Piñas City, Metro Manila",288061555,Rev. Fr. Gerard Vicente B. Mascarina,,,,"Mon Jun 5, 2023 7:51PM","{'lat': 14.4196066, 'lng': 121.0069432}",121.0069432,14.4196066
12,Saint Joseph the Worker Parish,"Mariposa cor. Georgia St, Talon 3, Las Piñas City, Metro Manila",284017051,,,,Sunday Chapel Masses,"Mon Jun 5, 2023 8:08PM","{'lat': 14.4471909, 'lng': 121.0004863}",121.0004863,14.4471909
13,San Ezekiel Moreno Oratory,"C-5 Extension, Pulanglupa, Las Piñas City, Metro Manila",288285316,,,,,"Sun Nov 13, 2022 10:45AM","{'lat': 14.4741943, 'lng': 120.9779886}",120.9779886,14.4741943
14,San Isidro Labrador Parish,"Zodiac Avenue, Veraville Homes, Almanza Uno, Las Piñas City, Metro Manila",(02) 8008679,,Tuesday - Saturday 5:30pm to 6:15pm,,,"Mon Jun 5, 2023 8:13PM","{'lat': 14.4297526, 'lng': 121.0107085}",121.0107085,14.4297526
15,Sto. Cristo Parish,"Gen. Lim cor. Gen. Ricarte Sts., Soldiers Hills 2 Subdivision, Almanza Uno, Las Piñas City, Metro Manila",288054081,,,,,"Mon Jun 5, 2023 8:17PM","{'lat': 14.4107063, 'lng': 120.9966995}",120.9966995,14.4107063
0,Holy Face of Jesus Parish - Sta. Veronica Church,"Madrid St, University Village, Ibabang Dupay, Lucena City, Quezon",,,,,,"Sat Apr 29, 2023 8:10PM","{'lat': 13.9519495, 'lng': 121.6220229}",121.6220229,13.9519495
1,Our Lady of Lourdes Parish,"38 Nadres St, Ibabang Iyam, Lucena City, Quezon","(042) 373-1479, 0999-199-3513",,,,,"Sat Apr 29, 2023 7:24PM","{'lat': 13.9317894, 'lng': 121.6043818}",121.6043818,13.9317894
2,Our Lady of Penafrancia Parish and Diocesan Shrine,"Capistrano Subdivision, Brgy. Gulang-gulang, Lucena City, Quezon",0942 373 3429,,,,,"Sat Apr 29, 2023 7:37PM","{'lat': 13.9575476, 'lng': 121.6054177}",121.6054177,13.9575476
3,Parish and Shrine of St.Jude Thaddeus,"Quezon Avenue Extention,Barangay Cotta, Lucena City, Quezon",(042797) 0917,,3:30pm  - Thursday,,Office Hours,"Sat Apr 29, 2023 7:59PM","{'lat': 13.9172047, 'lng': 121.6066326}",121.6066326,13.9172047
4,Saint Ferdinand Cathedral,"Quezon Avenue, Lucena City, Quezon",(042) 710 7573,,Mon-Fri: 7AM and 5PM,,,"Sat Apr 29, 2023 7:10PM","{'lat': 13.9406201, 'lng': 121.6134092}",121.6134092,13.9406201
5,St. Isidore Parish,"Ibabang Dupay, Lucena City, Quezon",,,,,,"Sun Apr 30, 2023 8:41AM","{'lat': 13.9480902, 'lng': 121.6254575}",121.6254575,13.9480902
6,St. Raphael The Archangel Parish,"Dalahican, Lucena City, Quezon",0928 960 3778,,,,,"Sat Apr 29, 2023 7:24PM","{'lat': 13.9087706, 'lng': 121.6140476}",121.6140476,13.9087706
0,Asian Institute of Management Chapel,"Asian Institute of Management, Makati City, Metro Manila",892 4011,,,,,"Sat Nov 19, 2011 3:42AM","{'lat': 14.552473, 'lng': 121.018728}",121.018728,14.552473
1,Holy Cross Parish,"211 J. P. Rizal St., Makati City, Metro Manila",(02) 896 0718,,Monday to Friday before and after Mass,,Additional Masses,"Sun Sep 18, 2022 12:40PM","{'lat': 14.572946, 'lng': 121.013387}",121.013387,14.572946
2,Holy Family Parish,"2777 Faraday St., San Isidro, Makati City, Metro Manila",88430811,Rev. Fr. Danilo A. Canceran,,,,"Sat May 29, 2021 12:45PM","{'lat': 14.554827, 'lng': 121.007661}",121.007661,14.554827
3,Makati Medical Center Chapel,"Amorsolo St. Legaspi Village 9th floor, Makati City, Metro Manila",88888999 local 2910,,,,,"Wed Jun 5, 2024 8:31PM","{'lat': 14.5370905, 'lng': 121.0222793}",121.0222793,14.5370905
4,Mary Mother of Hope Chapel (Landmark Chapel),"5th Floor, The Landmark Makati Commercial Center, Ayala Center, Makati City, Metro Manila",804-37-27,,,,,"Sun Mar 26, 2023 11:03AM","{'lat': 14.5522351, 'lng': 121.0235466}",121.0235466,14.5522351
5,"Mary, Help of Christians Chapel","Estrella St. (beside PTT Gas Station), Brgy. Bangkal, Makati City, Metro Manila",none,,,,,"Mon Mar 28, 2016 11:13PM","{'lat': 14.5642476, 'lng': 121.0101845}",121.0101845,14.5642476
6,"Mary, Mirror of Justice","Agusho St. Cor. Anahaw St., Brgy. Comembo, Makati City, Metro Manila",883-4332,Rev. Fr. Jose Joel O. Jason,,,Holy Hour at 6AM  every First Friday,"Fri Dec 4, 2020 8:51PM","{'lat': 14.5490561, 'lng': 121.0655322}",121.0655322,14.5490561
7,Mater Dolorosa Parish,"19th Ave., East Rembo, Makati City, Metro Manila",757-5704,"Fr. Joel Mosura, TC","Weekdays 5:30 p.m. - 6:00 p.m. , Sat and Sun 5:00 p.m. - 6:00 p.m.",,,"Wed Sep 4, 2013 1:46PM","{'lat': 14.5539048, 'lng': 121.0619597}",121.0619597,14.5539048
8,National Shrine of Our Lady of Guadalupe,"1923 Orense St. , Guadalupe Nuevo, Makati City, Metro Manila",88821814,,"Mon-Sat: 11AM-12NN and 5:30PM-6:30PM, Sun: 30 mins. before Masses starting 8AM Mass",,,"Sun Dec 17, 2023 7:32AM","{'lat': 14.5615541, 'lng': 121.0454919}",121.0454919,14.5615541
9,National Shrine of the Sacred Heart of Jesus,"4 Sacred Heart St., San Antonio Village, Makati City, Metro Manila",288956331,,30 minutes before every Mass,,,"Sat Dec 16, 2023 9:48AM","{'lat': 14.5640163, 'lng': 121.0140454}",121.0140454,14.5640163
10,Nuestra Señora De Gracia Parish,"7440 Bernardino St. Guadalupe Viejo, Makati City, Metro Manila",896-8444,,,,,"Wed Sep 4, 2013 1:46PM","{'lat': 14.566475, 'lng': 121.043342}",121.043342,14.566475
11,Our Lady of Fatima Parish,"1120 Rodriguez Ave. cor. Capinpin St . Bangkal, Makati City, Metro Manila",751-5721,Rev. Fr. Edison Escario.FYI,,,,"Mon Apr 30, 2018 3:09PM","{'lat': 14.5419578, 'lng': 121.0144714}",121.0144714,14.5419578
12,Our Lady of La Paz Parish,"1562 Archimedes St., cor Flordeliz St., Brgy. La Paz, Makati City, Metro Manila",899-3054 / 899-4010,"Fr. Gabriel V. Garcia, MI",weekdays 5:30 pm and Sunday before every mass,,Office Hours:,"Mon May 9, 2016 9:44PM","{'lat': 14.5684965, 'lng': 121.0084227}",121.0084227,14.5684965
13,Our Lady of La Paz Parish,"1562 Archimedes St., cor Flordeliz St., Brgy. La Paz, Makati City, Metro Manila",899-3054 / 899-4010,"Fr. Gabriel V. Garcia, MI",weekdays 5:30 pm and Sunday before every mass,,,"Wed Dec 15, 2021 5:25PM","{'lat': 14.5684965, 'lng': 121.0084227}",121.0084227,14.5684965
14,Parish of the Holy Cross,"211 J. P. Rizal St.,, Makati City, Metro Manila",(02) 896-0718,Fr. Jason H. Laguerta,Before and after every Mass,,Adoration Chapel: Monday to Saturday 7:00pm-6:00pm,"Sun Feb 8, 2015 2:53AM","{'lat': 14.572946, 'lng': 121.013387}",121.013387,14.572946
15,Sacred Heart of Jesus Chapel (Power Plant Mall Chapel),"Rockwell Drive corner Estrella Street, Makati City, Metro Manila",0917 884 3606,,Sat: 4-6PM,,,"Thu Dec 14, 2023 8:20PM","{'lat': 14.5629736, 'lng': 121.0390755}",121.0390755,14.5629736
16,San Ildefonso Parish,"A. Arnaiz Ave. cor. M. Reyes St., Pio del Pilar, Makati City, Metro Manila",843-7351,"Fr. Remo Bati, SDB",,,,"Sat May 14, 2016 7:38PM","{'lat': 14.5508775, 'lng': 121.0094602}",121.0094602,14.5508775
17,Santuario de San Antonio,"McKinley Road, Forbes Park, Makati City, Metro Manila","02)8843-8830, (02)8843-8831, (02)8843-8832",,Daily: 5-6PM at St. Bernardine Room,,Village Masses:,"Sat Aug 6, 2022 3:32PM","{'lat': 14.5474806, 'lng': 121.0379064}",121.0379064,14.5474806
18,St. Alphonsus Mary de Liguori Parish,"Humabon Place, Barangay Magallanes, Makati City, Metro Manila",+63 288522750,,,,,"Fri Aug 4, 2023 7:22PM","{'lat': 14.531314, 'lng': 121.021326}",121.021326,14.531314
19,St. Andrew the Apostle Parish,"#62 Constellation cor. N. Garcia Sts., Makati City, Metro Manila",288977743,,Wed and Fri: 12NN-1PM and 5:30-6:30PM,,,"Sun Mar 26, 2023 9:03PM","{'lat': 14.5658953, 'lng': 121.0232838}",121.0232838,14.5658953
20,St. John Bosco Parish,"A. Arnaiz Ave. ( Pasay Rd. ) cor. Amorsolo St., Makati City, Metro Manila",894-5932 to 34,,Available at the Adoration Chapel during the Masses,,,"Sun Dec 17, 2023 7:55AM","{'lat': 14.551081, 'lng': 121.011208}",121.011208,14.551081
21,St. John Mary Vianney Parish,"Narra St. , Brgy. Cembo, Makati City, Metro Manila",288815078,,,,,"Mon Jun 5, 2023 9:25PM","{'lat': 14.5629377, 'lng': 121.0517217}",121.0517217,14.5629377
22,St. John of the Cross Parish,"Catholic Rectory, 9 Hasmin St . PEMBO, Makati City, Metro Manila",728-7316,,,,Youth Mass: Every 4th Sunday of the Month at 6 PM.,"Mon May 9, 2016 10:04PM","{'lat': 14.572631, 'lng': 121.0357821}",121.0357821,14.572631
23,St. John Paul II Chapel,"Circuit Lane, Makati City, Metro Manila",None,,,,,"Mon Nov 20, 2023 4:28PM","{'lat': 14.5753021, 'lng': 121.0196578}",121.0196578,14.5753021
24,St. Joseph the Worker Parish,"4927 Enrique St. , Palanan, Makati City, Metro Manila",288316089,,30 minutes before every mass or by appointment,,,"Tue Jun 13, 2023 9:01AM","{'lat': 14.5617594, 'lng': 121.0032355}",121.0032355,14.5617594
25,Sta. Teresita Parish,"A. Mabini St., West Rembo, Makati City, Metro Manila",288815241,,,,,"Mon Jun 5, 2023 9:16PM","{'lat': 14.5592198, 'lng': 121.0626459}",121.0626459,14.5592198
26,Sto. Niño De Paz Chapel (Greenbelt Chapel),"Greenbelt Park, Ayala Center, Makati City, Metro Manila",287298173,,Mon to Sat: 8AM -  6PM,,,"Mon Dec 11, 2023 7:19PM","{'lat': 14.5527276, 'lng': 121.0222429}",121.0222429,14.5527276
27,Sts. Peter and Paul Parish,"5539 D. M. Rivera St. , Poblacion, Makati City, Metro Manila",288993285,,,,,"Mon Jun 5, 2023 8:45PM","{'lat': 14.5658842, 'lng': 121.0313917}",121.0313917,14.5658842
0,Exaltation of the Holy Cross Parish,"31 A Gervacio St.,Hulong Duhat, Malabon City, Metro Manila",(8) 352 0182,,,,,"Sun Mar 12, 2023 7:36PM","{'lat': 14.6785947, 'lng': 120.9403274}",120.9403274,14.6785947
1,Holy Trinity Quasi-Parish,"138 Sanchez Street, Tinajeros, Malabon City, Metro Manila",287136728,,,,,"Sun Mar 12, 2023 10:27PM","{'lat': 14.6699791, 'lng': 120.9696055}",120.9696055,14.6699791
2,Immaculate Conception Parish,"272 Gen. Luna St., Concepcion, Malabon City, Metro Manila",(02) 8281-5001,Rev. Fr. Joey C. Enriquez,by appointment,,,"Sun Jan 8, 2023 7:14PM","{'lat': 14.6686681, 'lng': 120.9473301}",120.9473301,14.6686681
3,Immaculate Heart of Mary Parish,"M.H, Del Pilar St., Maysilo, Malabon City, Metro Manila",(02) 277 2548,,,,,"Sun Mar 12, 2023 7:42PM","{'lat': 14.679974, 'lng': 120.9612156}",120.9612156,14.679974
4,Sacred Heart of Jesus Parish,"M.H. Del Pilar Cor. Pureza St., Tugatog, Malabon City, Metro Manila",282883777,,,,,"Sun Mar 12, 2023 9:57PM","{'lat': 14.661651, 'lng': 120.9698205}",120.9698205,14.661651
5,San Antonio de Padua Parish,"Sanciangco St., Tonsuya, Malabon City, Metro Manila",8355-5427,,,,,"Sun Mar 12, 2023 9:28PM","{'lat': 14.6647727, 'lng': 120.957302}",120.957302,14.6647727
6,San Bartolome,"Rizal Avenue, Malabon City, Metro Manila",8281-1266  /  8283-3512,Rev. Fr. Elpidio A. Erlano Jr.,,,,"Sun Mar 12, 2023 9:32PM","{'lat': 14.6143876, 'lng': 120.9826056}",120.9826056,14.6143876
7,St. Clare of Assisi Parish,"Block 50 Lot 2 P2 E3 Maya-maya Corner Alupihang-dagat Barangay Longos, Malabon City, Metro Manila",,,,,,"Sun Mar 12, 2023 10:12PM","{'lat': 14.6507995, 'lng': 120.9617979}",120.9617979,14.6507995
8,Sto Rosario Parish,"Don Basilio Bautista Blvd.,Dampalit, Malabon City, Metro Manila",638-2821416,,,,annointing of the sick: by schedule:,"Sun May 1, 2022 4:55PM","{'lat': 14.6844872, 'lng': 120.94284}",120.94284,14.6844872
9,Sts. Peter and John Parish,"36 Orange Road,Potrero, Malabon City, Metro Manila",283619924,,,,,"Sun Mar 12, 2023 9:41PM","{'lat': 14.6700546, 'lng': 120.9833349}",120.9833349,14.6700546
0,Archdiocesan Shrine of the Divine Mercy,"Maysilo Circle, Boni Ave, Mandaluyong City, Metro Manila",531-4598,"Msgr. Alberto G. Salonga, Jr. (Rector)","Sunday: 6 AM - 12:30 PM, 3 PM - 6 PM",,,"Thu Aug 25, 2016 9:11PM","{'lat': 14.5767525, 'lng': 121.0347989}",121.0347989,14.5767525
1,Chapel of the Eucharistic Lord,"5th Floor, SM Megamall , Mandaluyong City, Metro Manila",(02) 8638-8801,"Rev. Msgr. Noly A. Que, LRMS","Wed, Fri and Sat: 3:00pm-5:00pm",,,"Mon Dec 11, 2023 7:11PM","{'lat': 14.5859462, 'lng': 121.0565345}",121.0565345,14.5859462
2,Our Lady of Fatima Parish,"Mariveles Street., Highway Hills, Mandaluyong City, Metro Manila",532-8400,,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 14.5814993, 'lng': 121.0502427}",121.0502427,14.5814993
3,Parish of Our Lady of the Abandoned,"Coronado St., Hulo, Mandaluyong City, Metro Manila",532-7756,"Rev. Fr. Eladio Oliver, MSP",,,,"Thu Oct 31, 2013 11:37AM","{'lat': 14.5704548, 'lng': 121.031169}",121.031169,14.5704548
4,Sacred Heart of Jesus Parish,"Welfareville Compound, Mandaluyong City, Metro Manila",531-8539,Rev. Fr. Wilmer Rosario,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 14.5855301, 'lng': 121.0378102}",121.0378102,14.5855301
5,San Felipe Neri Parish,"Boni Avenue, Mandaluyong City, Metro Manila",531-2931,,,,Simbang Gabi: December 15-23 7:30PM and 9:00PM,"Sun Dec 12, 2021 9:06AM","{'lat': 14.5764033, 'lng': 121.0385516}",121.0385516,14.5764033
6,San Roque Parish,"San Roque St., Barangka, Mandaluyong City, Metro Manila",531-0009,,,,,"Wed Dec 2, 2015 12:47AM","{'lat': 14.5902325, 'lng': 121.023412}",121.023412,14.5902325
7,Santuario De San Jose ( St. Joseph the Patriarch),"Buffalo cor. Duke Sts. , East Greenhills, Mandaluyong City, Metro Manila",287252044,,Before every mass; by request,,Here is the office hours schedule,"Tue Jan 24, 2023 9:16PM","{'lat': 14.6023732, 'lng': 121.0464101}",121.0464101,14.6023732
8,St. Dominic Savio Parish,"49 Pag-asa St., Mandaluyong City, Metro Manila",531-7776,,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 14.5905504, 'lng': 121.0275523}",121.0275523,14.5905504
9,St. Francis of Assisi Parish,"Saint Francis Street corner Shaw Boulevard, Mandaluyong City, Metro Manila",(02) 863 1635,,,,,"Fri Dec 15, 2023 10:39PM","{'lat': 14.5790314, 'lng': 121.0562407}",121.0562407,14.5790314
0,Archdiocesan Shrine of Our Lady of Fatima,"North Road, Basak, Mandaue City, Cebu",346-7542,,,,,"Mon Feb 8, 2021 8:24AM","{'lat': 10.3583408, 'lng': 123.9499219}",123.9499219,10.3583408
1,Catholic Church of Christ of the Agony (Gethsemane Parish),"Casuntingan, Mandaue City, Cebu",346-9560,,Every after Mass,,,"Sat Aug 6, 2022 5:16PM","{'lat': 10.3450396, 'lng': 123.9317932}",123.9317932,10.3450396
2,Christ the King Parish,"Alang-alang, Mandaue City, Cebu",(032) 261 4392,,Every first Friday after 6PM Mass,,,"Tue Nov 22, 2022 11:09AM","{'lat': 10.335817, 'lng': 123.9485215}",123.9485215,10.335817
3,Holy Family Parish,"Maguikay, Mandaue City, Cebu",420-5299,,,,,"Fri Apr 28, 2023 10:32PM","{'lat': 10.3416337, 'lng': 123.9401578}",123.9401578,10.3416337
4,National Shrine of St. Joseph,"S.B. Cabahug St. Centro, Mandaue City, Cebu",344-3354,,,,,"Fri Apr 28, 2023 10:35PM","{'lat': 10.3268958, 'lng': 123.9424019}",123.9424019,10.3268958
5,Nativity Of Mary Parish,"Canduman, Mandaue City, Cebu",0922-729-6058,,MWF at 5PM,,,"Tue Nov 22, 2022 10:57AM","{'lat': 10.3677899, 'lng': 123.9331874}",123.9331874,10.3677899
6,San Roque Parish,"Subangdaku, Mandaue City, Cebu",(032) 520-3324,,Thur at 8PM - Holy Hour with Confession,,,"Sat Dec 16, 2023 10:02AM","{'lat': 10.3256989, 'lng': 123.9220336}",123.9220336,10.3256989
7,Sto. Niño Parish,"Paknaan, Mandaue City, Cebu",(032) 326 7123,,,,,"Fri Apr 28, 2023 10:43PM","{'lat': 10.3451759, 'lng': 123.9610657}",123.9610657,10.3451759
0,Archdiocesan Shrine of Santo Niño (Tondo Church),"600 Lorenzo Chacon St. Tondo, Manila City, Metro Manila",Smart/Viber: 0969-5655166 Globe: 0945-6694445 Land,Rev. Msgr. Geronimo Reyes,Tuesday to Friday 7:00am,,,"Fri Jan 27, 2023 10:41PM","{'lat': 14.6082591, 'lng': 120.9682221}",120.9682221,14.6082591
1,Abbey Church of Our Lady of Montserrat (San Beda College),"Mendiola, San Miguel, Manila City, Metro Manila",(02) 735-5992,,,,,"Sun Nov 13, 2022 11:56AM","{'lat': 14.5985559, 'lng': 120.9928299}",120.9928299,14.5985559
2,Archdiocesan Shrine of Nuestra Señora de Guia Parish ( Ermita Church),"M. H. del Pilar St. cor. A. Flores St .,  Ermita, Manila City, Metro Manila",523-2754,,"A priest is available to hear Confessions at 5:30 pm, Monday-Saturday. Otherwise, you may approach him after he celebrates Holy Mass.",,,"Fri Dec 15, 2023 11:33PM","{'lat': 14.578903, 'lng': 120.9795455}",120.9795455,14.578903
